id,status,date_created,date_closed,total_amount,currency_id,buyer_id,buyer_nickname,buyer_first_name,buyer_last_name,item_id,item_title,quantity,unit_price,payment_id,transaction_amount,payment_status
2.00001E+15,paid,2023-11-18T01:21:30.000-04:00,2023-11-18T01:21:33.000-04:00,3016,MXN,309239735,CHAN3676282,,,MLM2599141944,Colchón Gel Dreams Individual Memory Foam Gel + Hd Foam,1,3016,67213472120,3016,approved
2.00001E+15,cancelled,2023-11-18T08:24:01.000-04:00,2023-11-18T08:24:02.000-04:00,3016,MXN,1100694423,JUANOLMOSSALINAS,,,MLM2599141944,Colchón Gel Dreams Individual Memory Foam Gel + Hd Foam,1,3016,67219573502,3016,refunded
2.00001E+15,paid,2023-11-18T10:46:37.000-04:00,2023-11-18T10:47:25.000-04:00,6799.5,MXN,337111761,USSINAVA,,,MLM2595260414,Colchones Matrimoniales | Colchón Memory Foam + Comfort Gel,1,6799.5,67227648832,6799.5,approved
2.00001E+15,cancelled,2023-11-18T11:31:07.000-04:00,2023-11-18T11:31:45.000-04:00,3016,MXN,1437574340,ZUÑIGAELENA20230803130736,,,MLM2599141944,Colchón Gel Dreams Individual Memory Foam Gel + Hd Foam,1,3016,67230885796,3016,refunded
2.00001E+15,paid,2023-11-18T19:36:29.000-04:00,2023-11-18T19:36:32.000-04:00,3016,MXN,1007811151,JESSJAIMEJUANFRANCISCO,,,MLM2599141944,Colchón Gel Dreams Individual Memory Foam Gel + Hd Foam,1,3016,67259727656,3016,approved
2.00001E+15,paid,2023-11-18T19:37:19.000-04:00,2023-11-18T19:37:22.000-04:00,4964,MXN,41448324,80ALFREDO0604,,,MLM1937887099,Colchón Matrimonial Restonic Ortopédico Ultra Confort Bh Color Gris/negro,1,4964,67259777786,4964,approved
2.00001E+15,paid,2023-11-18T22:32:27.000-04:00,2023-11-18T22:35:26.000-04:00,9975,MXN,657521152,ALEJANDRONAVA03,,,MLM2595184304,Colchones King Size | Colchón Memory Gel | 10 Años Garantía,1,9975,67087309953,9975,rejected
2.00001E+15,paid,2023-11-18T22:32:27.000-04:00,2023-11-18T22:35:26.000-04:00,9975,MXN,657521152,ALEJANDRONAVA03,,,MLM2595184304,Colchones King Size | Colchón Memory Gel | 10 Años Garantía,1,9975,67087423593,9975,approved
2.00001E+15,paid,2023-11-18T23:46:21.000-04:00,2023-11-18T23:47:01.000-04:00,3016,MXN,497001282,CHICAGOMADE87,,,MLM2599141944,Colchón Gel Dreams Individual Memory Foam Gel + Hd Foam,1,3016,67089496603,3016,approved
2.00001E+15,paid,2023-11-18T23:55:36.000-04:00,2023-11-18T23:56:19.000-04:00,3016,MXN,251956023,GADA5884238,,,MLM2599141944,Colchón Gel Dreams Individual Memory Foam Gel + Hd Foam,1,3016,67270770148,3016,approved
